timestep,zone,mean_ps2,n,scenario,mode,rep
52,mid,0.0,2,official_zones,sys1_only,1
53,mid,0.0,2,official_zones,sys1_only,1
54,mid,0.0,2,official_zones,sys1_only,1
55,mid,0.0,2,official_zones,sys1_only,1
56,mid,0.0,2,official_zones,sys1_only,1
57,mid,0.0,2,official_zones,sys1_only,1
58,mid,0.0,1,official_zones,sys1_only,1
59,mid,0.0,1,official_zones,sys1_only,1
60,mid,0.0,1,official_zones,sys1_only,1
61,mid,0.0,1,official_zones,sys1_only,1
62,mid,0.0,1,official_zones,sys1_only,1
63,mid,0.0,1,official_zones,sys1_only,1
64,mid,0.0,1,official_zones,sys1_only,1
65,mid,0.0,1,official_zones,sys1_only,1
66,mid,0.0,1,official_zones,sys1_only,1
67,mid,0.0,1,official_zones,sys1_only,1
0,outer,0.0,144,official_zones,sys1_only,1
1,outer,0.0,126,official_zones,sys1_only,1
2,outer,0.0,116,official_zones,sys1_only,1
3,outer,0.0,96,official_zones,sys1_only,1
4,outer,0.0,89,official_zones,sys1_only,1
5,outer,0.0,75,official_zones,sys1_only,1
6,outer,0.0,59,official_zones,sys1_only,1
7,outer,0.0,52,official_zones,sys1_only,1
8,outer,0.0,43,official_zones,sys1_only,1
9,outer,0.0,41,official_zones,sys1_only,1
10,outer,0.0,37,official_zones,sys1_only,1
11,outer,0.0,28,official_zones,sys1_only,1
12,outer,0.0,20,official_zones,sys1_only,1
13,outer,0.0,16,official_zones,sys1_only,1
14,outer,0.0,17,official_zones,sys1_only,1
15,outer,0.0,14,official_zones,sys1_only,1
16,outer,0.0,10,official_zones,sys1_only,1
17,outer,0.0,8,official_zones,sys1_only,1
18,outer,0.0,7,official_zones,sys1_only,1
19,outer,0.0,7,official_zones,sys1_only,1
20,outer,0.0,7,official_zones,sys1_only,1
21,outer,0.0,8,official_zones,sys1_only,1
22,outer,0.0,8,official_zones,sys1_only,1
23,outer,0.0,5,official_zones,sys1_only,1
24,outer,0.0,5,official_zones,sys1_only,1
25,outer,0.0,4,official_zones,sys1_only,1
26,outer,0.0,4,official_zones,sys1_only,1
27,outer,0.0,3,official_zones,sys1_only,1
