kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
19.0,7,0.31298262885563755,0.10992724043381887,3.162190011852427e-06
19.0,8,0.311471525159979,0.11184893652205855,1.7288099163359267e-05
19.0,9,0.3213298156628178,0.11179200640422467,5.4441681749303145e-05
20.0,0,0.2980697886710624,0.1115195737978217,0.00027630009643621995
20.0,1,0.2909166160278807,0.11097887746550505,0.0005600919555998966
20.0,2,0.30333740590762004,0.11655705517236711,0.0001817125897494366
20.0,3,0.33505100744022037,0.11884682107751161,0.00051930379214052
20.0,4,0.31433817931897606,0.10358336920502166,2.936607510191472e-05
20.0,5,0.2966397362273516,0.11063322011280105,0.00032165642996543394
20.0,6,0.32887422898803703,0.11538842345435822,0.0002474304132327183
20.0,7,0.29602000990157906,0.10840755377782263,0.0003418610265639082
20.0,8,0.30524286545229207,0.1093171075017247,8.579509720201788e-05
20.0,9,0.30637148338376174,0.11143933096749739,7.202311794945321e-05
21.0,0,0.3168070454075008,0.10689928023687742,9.735482035444405e-06
21.0,1,0.3033430199893242,0.1070590424515857,0.00012824551916336527
21.0,2,0.3253370124734488,0.10039497551849261,0.00019148728567702677
21.0,3,0.27319712693842757,0.11774133924948674,0.001782338335014983
21.0,4,0.30925780309824535,0.09930862594005467,0.00012140335952654725
21.0,5,0.33470860760061255,0.10019043914140426,0.00048599618367683745
21.0,6,0.40051637494498815,0.031417638935808775,0.01341783950697132
21.0,7,0.3099981396326884,0.12125738253619966,0.0001705101734055034
21.0,8,0.3057241439372381,0.10932824361320231,7.712339350392252e-05
21.0,9,0.3279120689800275,0.09687502301957394,0.0003268986611008777
22.0,0,0.3035241906424109,0.11157185902297152,0.0001270828498881811
22.0,1,0.31950896531480405,0.10940665865783443,2.5255104788901716e-05
22.0,2,0.31645788018423393,0.11114407929798573,8.430370851866848e-06
22.0,3,0.31268461964183913,0.10980297730471814,3.940378396688681e-06
22.0,4,0.33546171991582385,0.11084330440370152,0.0004427914729541517
22.0,5,0.32961650552200084,0.10136349393160977,0.00028682496412924246
22.0,6,0.3347491227777628,0.07904966586147888,0.0013070494882779762
22.0,7,0.3186599350909758,0.12221624670893802,0.00019197423703264677
22.0,8,0.31806268898728596,0.09853172326019037,0.00012227757072136793
22.0,9,0.3137851651314358,0.11910696357957588,0.00010266170168818859
23.0,0,0.3154715462835439,0.12130005143698742,0.0001522351675336044
23.0,1,0.30085293713422134,0.11164815157056587,0.0001932550316032053
23.0,2,0.32951659070047096,0.08064384553726467,0.0010295694921799755
23.0,3,0.33091678808319486,0.11332988094572571,0.0002882587999726872
23.0,4,0.2864434653827136,0.11205592434881882,0.0007965078083566944
23.0,5,0.3370652305675622,0.09602393592181285,0.0006775678695284628
23.0,6,0.32536072326844095,0.11451373140669173,0.0001483565439387935
23.0,7,0.32089499553870693,0.10448073434960571,6.13197299589152e-05
23.0,8,0.31330793713480726,0.12195109321575642,0.0001691518293577836
23.0,9,0.3137454181208107,0.11554010586994194,4.334237860244992e-05
24.0,0,0.30525532807922107,0.11165317079269507,9.250327417804869e-05
24.0,1,0.3272352895247295,0.11563549204497325,0.0002062173539575888
24.0,2,0.3036963306467706,0.09834875149337233,0.0002301683662438465
24.0,3,0.31487559166768286,0.11317202999902319,1.7546903413582242e-05
24.0,4,0.30294851882217677,0.11447922428981953,0.00016345861621975275
24.0,5,0.3322819864903802,0.10993152760190508,0.00031706678721717525
24.0,6,0.2990803847502121,0.12317412383552918,0.0004386703209564084
24.0,7,0.30248255773027266,0.1230651601118236,0.00034224764767746304
24.0,8,0.30554217838685027,0.11261897519021266,9.33395494803872e-05
24.0,9,0.3172750502229468,0.09729197100647982,0.00014477884665298606
25.0,0,0.3355193879758828,0.09811805790776963,0.0005602313345793423
25.0,1,0.3021057682952532,0.11214250034975619,0.0001634922879991684
25.0,2,0.2915131463337285,0.11258635826953205,0.0005412574071120209
25.0,3,0.3164956387969537,0.11485662661439805,3.8282649508382344e-05
25.0,4,0.3301735758352463,0.09691405258809224,0.0003917311043066169
25.0,5,0.3118948633083276,0.10417171874796524,3.0099037031048113e-05
25.0,6,0.33576300759989,0.11044678969386285,0.00045420869261124646
