cmc,alpha,beta,kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
0.2,1.25,1.986111111111111,18.75,4,0.24529500919352265,0.10667389478956936,0.004794741517974607
0.2,1.25,1.986111111111111,18.75,5,0.23156763780255685,0.11404738891931333,0.006903252834550705
0.2,1.25,1.986111111111111,18.75,6,0.2539396894374064,0.09902477963293117,0.0037670562368093694
0.2,1.25,2.1666666666666665,11.25,0,0.2594395629236159,0.10343606087866085,0.0030626091495884193
0.2,1.25,2.1666666666666665,11.25,1,0.2722197650468303,0.0902626214547482,0.002138707622443294
0.2,1.25,2.1666666666666665,11.25,2,0.2556400018545015,0.09206499728099442,0.0037512936987808164
0.2,1.25,2.1666666666666665,11.25,3,0.28655997595685617,0.08426867429091993,0.0013922834148600602
0.2,1.25,2.1666666666666665,11.25,4,0.25493547250196696,0.09762528777039137,0.003677317014370342
0.2,1.25,2.1666666666666665,11.25,5,0.24883832536493056,0.09677048609781026,0.004461016526165575
0.2,1.25,2.1666666666666665,11.25,6,0.26511110236744506,0.09636189007109441,0.002598985031934093
0.2,1.25,2.1666666666666665,12.5,0,0.2620756996576338,0.09795296763469657,0.002870344190466681
0.2,1.25,2.1666666666666665,12.5,1,0.25791734604784383,0.08771531929828952,0.003654634360843221
0.2,1.25,2.1666666666666665,12.5,2,0.26911536381567,0.0969002285313122,0.00220616967117847
0.2,1.25,2.1666666666666665,12.5,3,0.2584357538732948,0.09232825955201845,0.003421146623320641
0.2,1.25,2.1666666666666665,12.5,4,0.2647129251528572,0.10086572583553775,0.002544919238017636
0.2,1.25,2.1666666666666665,12.5,5,0.25739364889247257,0.09545427047752227,0.0034446221251123246
0.2,1.25,2.1666666666666665,12.5,6,0.28621040088520144,0.0832636829032024,0.0014626594357829282
0.2,1.25,2.1666666666666665,13.75,0,0.2578387848179876,0.09092605358722153,0.0035371608448342994
0.2,1.25,2.1666666666666665,13.75,1,0.2988044403531522,0.0694440146066409,0.001811026573067396
0.2,1.25,2.1666666666666665,13.75,2,0.2643018109389805,0.09330017895977298,0.0027663425657010157
0.2,1.25,2.1666666666666665,13.75,3,0.2554678746352891,0.09510356300469248,0.003677902786239498
0.2,1.25,2.1666666666666665,13.75,4,0.274853158050003,0.08784228328148384,0.002019521053349021
0.2,1.25,2.1666666666666665,13.75,5,0.2766801520750808,0.09399048813190855,0.0016556263435823942
0.2,1.25,2.1666666666666665,13.75,6,0.26278297492873826,0.09596752814974574,0.0028444960047491856
0.2,1.25,2.1666666666666665,15.0,0,0.2700785236893565,0.09521024341416126,0.0021634249443137467
