Time  Nyarugusu comparison Error
363 30937 71138.0 0.565112879193
364 30960 70885.0 0.563236227693
365 30978 70687.0 0.561758173356
366 30986 70489.0 0.560413681567
367 31082 70291.0 0.557809676915
368 31163 70093.0 0.555404961979
369 31230 69796.0 0.552553154909
370 31216 69500.0 0.550848920863
371 31245 69203.0 0.548502232562
372 31297 68907.0 0.545808118188
373 31333 68610.0 0.543317300685
374 31375 68314.0 0.540723716954
375 31388 68050.0 0.538750918442
376 31438 67787.0 0.536223759718
377 31436 67524.0 0.534447011433
378 31467 67261.0 0.532165742406
379 31525 66998.0 0.529463566077
380 31500 66735.0 0.527983816588
381 31543 66582.0 0.526253341744
382 31561 66429.0 0.524891237261
383 31596 66276.0 0.523266340757
384 31652 66123.0 0.52131633471
385 31664 65971.0 0.520031529005
386 31732 65859.0 0.518182784433
387 31759 65748.0 0.516958690759
388 31830 65637.0 0.515060103295
389 31861 65526.0 0.513765528187
390 31908 65415.0 0.512221967439
391 31923 65304.0 0.511163175303
392 31938 65319.0 0.511045790658
393 32002 65334.0 0.510178467567
394 32027 65349.0 0.509908338307
395 32051 65353.0 0.509571098496
