#time,x,y,location_type
-20,-0.3198944910951016,51.60491533831474,house
-20,-0.36167667973557005,51.573674801982065,house
-20,-0.38200979694280035,51.599880742689905,house
-20,-0.3558046357125384,51.581925375294816,house
-14,-0.34261814791419476,51.55829594139917,house
-14,-0.30297564563112506,51.59573583185919,house
-14,-0.3390254375105856,51.5769123593207,house
-14,-0.3537780802523708,51.585046073151844,house
-14,-0.3756031402627024,51.58520522018291,house
-14,-0.3072408078508634,51.618785421990765,house
-14,-0.3608903774589007,51.613393345096775,house
-14,-0.27569044980935803,51.606504826706,house
-14,-0.38490125848831236,51.58643491652448,house
-14,-0.3253254494070296,51.599105961063344,house
-14,-0.4037462765170208,51.59957580253163,house
-14,-0.3438876218502806,51.56559410590181,house
-14,-0.38634379499493854,51.580526681231966,house
-14,-0.3658728272532777,51.565384989327626,house
-14,-0.36676263266037784,51.61924866525114,house
-14,-0.308597314697345,51.59060376483629,house
-14,-0.35572694383157494,51.57282338670026,house
-12,-0.34553559794805083,51.60550058929764,house
-12,-0.3134842464754099,51.60234696462526,house
-12,-0.32494104350718217,51.59543415278632,house
-12,-0.30968515507929045,51.59476343543896,house
-12,-0.36713489784285225,51.57123440099132,house
-12,-0.3110471521819208,51.59944797452384,house
-12,-0.3309502937679325,51.559158998388874,house
-12,-0.38514474690802397,51.57431333569195,house
-12,-0.3719657177890176,51.56844174659173,house
-12,-0.3962462252673993,51.5878230352725,house
-12,-0.3561244696157615,51.56527323660532,house
-12,-0.3216874455217587,51.564637317790385,house
-12,-0.39187211696806556,51.60466882684468,house
-12,-0.31972000187654004,51.61856367525905,house
-12,-0.3721337046894576,51.55450020743191,house
-12,-0.31135876684665126,51.58583096287757,house
-12,-0.3274534121498457,51.57894205790005,house
-22,-0.33547578532364114,51.584768868054105,house
-22,-0.3332906048922676,51.605965644534116,house
-22,-0.37469594333128897,51.58350491209302,house
-22,-0.3852582804931682,51.60798012581894,house
-22,-0.3077050892565767,51.58655980698638,house
-22,-0.31025637677376405,51.61166936260493,house
-22,-0.3605274383527986,51.56888121531279,house
-22,-0.3816024416156561,51.60219589607332,house
