Day,Ituri sim,Ituri data,Ituri error,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
46,1098,180,5.1,0,15599,1.0,329,41068,0.991988896464,2,785,0.997452229299,0,505,1.0,3611,58390,0.938157218702,1,227,0.995594713656,439,2154,0.796193129062,11564,31943,0.637980152146,4213,10859,0.612026890137,2357,5207,0.54734011907,1.9067381337116882,166917,76119,76119,23614,0
47,1147,184,5.23369565217,0,15938,1.0,360,41067,0.991233837388,2,803,0.997509339975,0,516,1.0,3781,58734,0.935625021282,1,240,0.995833333333,462,2201,0.790095411177,11925,32637,0.634617152312,4367,10941,0.600859153642,2438,5436,0.551508462104,1.8760189476116509,168697,77899,77899,24483,0
48,1179,188,5.27127659574,1,16277,0.999938563617,397,41080,0.990335929893,2,820,0.99756097561,0,526,1.0,3928,59162,0.933606030898,1,254,0.996062992126,491,2248,0.781583629893,12320,33331,0.630374126189,4526,11023,0.58940397351,2504,5665,0.557987643425,1.8452542117930204,170574,79776,79776,25349,0
49,1180,192,5.14583333333,1,16616,0.999939817044,430,41092,0.989535676044,2,837,0.99761051374,0,537,1.0,4093,59358,0.931045520402,1,268,0.996268656716,520,2295,0.773420479303,12677,34026,0.627431963792,4669,11104,0.579520893372,2599,5894,0.559043094673,1.8179953574630623,172219,81421,81421,26172,0
50,1180,196,5.02040816327,1,16955,0.999941020348,455,41105,0.988930787009,2,854,0.997658079625,0,548,1.0,4229,59543,0.928975698235,1,281,0.996441281139,545,2341,0.767193507048,13056,34720,0.623963133641,4822,11186,0.568925442517,2687,6123,0.561162828679,1.7921111565969128,173852,83054,83054,26978,0
51,1181,200,4.905,1,17294,0.999942176477,485,41117,0.988204392344,2,871,0.997703788749,0,559,1.0,4391,60004,0.92682154523,2,295,0.993220338983,573,2388,0.760050251256,13373,35415,0.62239164196,4968,11268,0.55910543131,2782,6352,0.562027707809,1.7650444300594363,175763,84965,84965,27758,0
52,1178,204,4.77450980392,1,17633,0.999943288153,511,41130,0.987575978604,2,888,0.997747747748,0,570,1.0,4566,60304,0.92428362961,3,295,0.989830508475,603,2435,0.752361396304,13762,36109,0.618876180454,5121,11350,0.548810572687,2863,6582,0.565025828016,1.7397291873313188,177500,86702,86702,28610,0
53,1178,208,4.66346153846,1,17972,0.99994435789,542,41143,0.98682643463,2,905,0.997790055249,0,581,1.0,4763,60581,0.921377989799,3,296,0.989864864865,638,2482,0.742949234488,14140,36803,0.615792190854,5279,11431,0.538185635552,2948,6811,0.567170753193,1.7153084883786687,179213,88415,88415,29494,0
54,1180,212,4.56603773585,1,18312,0.999945391,579,41155,0.985931235573,2,922,0.997830802603,0,592,1.0,4942,60962,0.918933105869,4,297,0.986531986532,676,2529,0.732700672202,14502,37498,0.613259373833,5444,11513,0.527143229393,3018,7040,0.571306818182,1.691380189285635,181032,90234,90234,30348,0
55,1183,216,4.47685185185,1,18651,0.999946383572,605,41168,0.985304119705,3,939,0.996805111821,0,603,1.0,5108,61280,0.916644908616,5,298,0.98322147651,699,2576,0.728649068323,14893,38192,0.610049224969,5611,11595,0.516084519189,3087,7269,0.575319851424,1.6689604191805543,182787,91989,91989,31195,0
56,1182,220,4.37272727273,1,18990,0.999947340706,639,41181,0.984483135427,3,956,0.996861924686,0,614,1.0,5284,61666,0.914312587163,6,298,0.979865771812,735,2623,0.719786504003,15279,38887,0.607092344485,5767,11677,0.506123148069,3169,7498,0.577353961056,1.6465803948322175,184610,93812,93812,32065,0
57,1185,224,4.29017857143,1,19329,0.999948264266,669,41193,0.983759376593,3,973,0.996916752312,0,625,1.0,5447,61908,0.912014602313,6,299,0.979933110368,769,2669,0.711877107531,15667,39581,0.604178772643,5903,11758,0.497958836537,3244,7727,0.580173417885,1.6265289879356568,186286,95488,95488,32894,0
58,1187,228,4.20614035088,2,19668,0.999898311979,698,41206,0.983060719313,3,990,0.99696969697,0,636,1.0,5748,62082,0.90741277665,9,398,0.977386934673,808,2716,0.702503681885,16008,40275,0.602532588454,6062,11840,0.488006756757,3334,7957,0.580997863516,1.6055371509701846,187996,97198,97198,33859,0
59,1186,231,4.1341991342,3,20007,0.999850052482,738,41272,0.982118627641,4,1008,0.996031746032,0,647,1.0,5995,62330,0.90381838601,9,406,0.977832512315,852,2656,0.67921686747,16382,40970,0.600146448621,6242,11922,0.476430129173,3417,8186,0.582580014659,1.5856106518813804,189635,98837,98837,34828,0
60,1186,235,4.04680851064,4,20346,0.99980340116,780,41290,0.981109227416,5,1025,0.99512195122,0,658,1.0,6237,62479,0.900174458618,10,414,0.975845410628,896,2596,0.654853620955,16780,41664,0.59725422427,6409,12004,0.466094635122,3497,8415,0.584432560903,1.5670999122876963,191126,100328,100328,35804,0
61,1188,239,3.97071129707,4,20685,0.999806623157,817,41366,0.980249480249,7,1042,0.993282149712,0,669,1.0,6496,62854,0.896649377923,12,422,0.971563981043,937,2536,0.630520504732,17164,42359,0.59479685545,6580,12085,0.455523376086,3586,8644,0.585145765849,1.5475353319686982,192901,102103,102103,36791,0
62,1188,243,3.88888888889,4,21024,0.999809741248,862,41374,0.979165659593,7,1059,0.993389990557,0,680,1.0,6764,62998,0.892631512111,13,430,0.96976744186,973,2476,0.607027463651,17498,43053,0.593570715165,6729,12167,0.446946658996,3676,8873,0.585709455652,1.5307446490118652,194377,103579,103579,37714,0
63,1193,247,3.82995951417,4,21364,0.999812769144,906,41382,0.978106423082,7,1076,0.993494423792,0,691,1.0,7009,63247,0.889180514491,13,437,0.970251716247,1009,2416,0.582367549669,17854,43748,0.591889914968,6915,12249,0.43546411952,3767,9102,0.586134915403,1.5136219701220035,195959,105161,105161,38677,0
64,1194,251,3.75697211155,6,21703,0.999723540524,941,41390,0.977265039865,7,1093,0.993595608417,0,702,1.0,7260,63554,0.885766434843,14,445,0.968539325843,1048,2356,0.555178268251,18213,44442,0.590184960173,7092,12331,0.42486416349,3864,9332,0.585940848693,1.4966713794814654,197599,106801,106801,39639,0
